end station name,frequency,start/end
E 17 St & Broadway,8305,End
W 20 St & 11 Ave,7848,End
West St & Chambers St,7626,End
Broadway & E 14 St,7052,End
Lafayette St & E 8 St,6926,End
Vesey Pl & River Terrace,6832,End
8 Ave & W 31 St,6766,End
West Thames St,6402,End
Broadway & W 60 St,6368,End
Carmine St & 6 Ave,6044,End
Broadway & W 24 St,6010,End
Pershing Square N,5920,End
Central Park S & 6 Ave,5811,End
Cleveland Pl & Spring St,5778,End
Broadway & E 22 St,5591,End
Grand Army Plaza & Central Park S,5505,End
W 41 St & 8 Ave,5257,End
Centre St & Chambers St,5170,End
Christopher St & Greenwich St,5160,End
Franklin St & W Broadway,5131,End
W Houston St & Hudson St,5099,End
University Pl & E 14 St,4972,End
W 21 St & 6 Ave,4880,End
Broadway & W 58 St,4792,End
MacDougal St & Prince St,4770,End
8 Ave & W 33 St,4708,End
9 Ave & W 14 St,4662,End
E 39 St & 2 Ave,4623,End
W 25 St & 6 Ave,4466,End
Greenwich Ave & 8 Ave,4446,End
W 18 St & 6 Ave,4417,End
W 15 St & 7 Ave,4378,End
2 Ave & E 31 St,4358,End
Lawrence St & Willoughby St,4318,End
W 4 St & 7 Ave S,4293,End
Barclay St & Church St,4280,End
W 39 St & 9 Ave,4244,End
Barrow St & Hudson St,4244,End
1 Ave & E 15 St,4241,End
E 58 St & 3 Ave,4226,End
Greenwich St & Warren St,4222,End
E 43 St & Vanderbilt Ave,4217,End
E 4 St & 2 Ave,4172,End
W 24 St & 7 Ave,4139,End
E 25 St & 2 Ave,4073,End
W 22 St & 10 Ave,4068,End
W 33 St & 7 Ave,4067,End
St Marks Pl & 2 Ave,4052,End
E 31 St & 3 Ave,4036,End
W Broadway & Spring St,4030,End
9 Ave & W 22 St,4009,End
Lexington Ave & E 24 St,4006,End
Broadway & Battery Pl,3959,End
W 26 St & 10 Ave,3956,End
W 56 St & 6 Ave,3916,End
Allen St & Rivington St,3895,End
W 43 St & 10 Ave,3887,End
Mercer St & Bleecker St,3883,End
9 Ave & W 45 St,3875,End
E 11 St & 2 Ave,3871,End
9 Ave & W 16 St,3870,End
2 Ave & E 58 St,3862,End
Mott St & Prince St,3824,End
W 27 St & 7 Ave,3823,End
W 49 St & 8 Ave,3784,End
W 22 St & 8 Ave,3765,End
W 13 St & 6 Ave,3748,End
Greenwich St & N Moore St,3696,End
12 Ave & W 40 St,3655,End
E 11 St & 1 Ave,3637,End
Washington St & Gansevoort St,3630,End
LaGuardia Pl & W 3 St,3627,End
State St,3622,End
Broadway & W 32 St,3576,End
E 32 St & Park Ave,3566,End
Great Jones St,3546,End
Allen St & E Houston St,3534,End
8 Ave & W 52 St,3526,End
W 51 St & 6 Ave,3515,End
W 52 St & 11 Ave,3508,End
E 20 St & 2 Ave,3507,End
W 20 St & 7 Ave,3492,End
Broadway & W 41 St,3479,End
Washington Square E,3473,End
Lexington Ave & E 26 St,3434,End
W 37 St & 10 Ave,3430,End
Liberty St & Broadway,3406,End
Broadway & W 49 St,3403,End
E 2 St & Avenue B,3401,End
W 38 St & 8 Ave,3400,End
W 17 St & 8 Ave,3388,End
E 16 St & Irving Pl,3334,End
E 12 St & 3 Ave,3307,End
W 43 St & 6 Ave,3278,End
W 26 St & 8 Ave,3268,End
Broadway & W 53 St,3245,End
DeKalb Ave & Hudson Ave,3245,End
Mercer St & Spring St,3243,End
E 13 St & Avenue A,3223,End
W 14 St & The High Line,3219,End
E 10 St & Avenue A,3158,End
W 20 St & 8 Ave,3156,End
E 16 St & 5 Ave,3151,End
Cliff St & Fulton St,3138,End
Bank St & Washington St,3101,End
E 7 St & Avenue A,3073,End
11 Ave & W 41 St,3069,End
5 Ave & E 29 St,3039,End
Suffolk St & Stanton St,3028,End
Pershing Square S,3027,End
E 40 St & 5 Ave,3025,End
Broadway & W 29 St,3021,End
South St & Gouverneur Ln,3001,End
E 6 St & Avenue B,2992,End
9 Ave & W 18 St,2972,End
E 19 St & 3 Ave,2968,End
Elizabeth St & Hester St,2963,End
W 59 St & 10 Ave,2952,End
W 45 St & 6 Ave,2952,End
E 47 St & Park Ave,2952,End
1 Ave & E 30 St,2950,End
E 30 St & Park Ave S,2932,End
E 39 St & 3 Ave,2931,End
W 42 St & 8 Ave,2924,End
Rivington St & Chrystie St,2905,End
Broadway & W 55 St,2903,End
W 16 St & The High Line,2902,End
E 23 St & 1 Ave,2892,End
Howard St & Centre St,2874,End
Sullivan St & Washington Sq,2860,End
10 Ave & W 28 St,2857,End
E 33 St & 1 Ave,2824,End
E 51 St & Lexington Ave,2806,End
E 2 St & 2 Ave,2796,End
W 47 St & 10 Ave,2780,End
6 Ave & W 33 St,2777,End
E 3 St & 1 Ave,2770,End
Watts St & Greenwich St,2765,End
E 9 St & Avenue C,2765,End
S 5 Pl & S 4 St,2737,End
FDR Drive & E 35 St,2700,End
W 11 St & 6 Ave,2698,End
W 13 St & 5 Ave,2693,End
Murray St & West St,2687,End
E 53 St & Lexington Ave,2665,End
Park Pl & Church St,2662,End
Warren St & Church St,2655,End
E 53 St & Madison Ave,2651,End
11 Ave & W 27 St,2650,End
W 31 St & 7 Ave,2639,End
E 20 St & FDR Drive,2637,End
Bank St & Hudson St,2607,End
Forsyth St & Broome St,2602,End
6 Ave & Canal St,2596,End
Greenwich Ave & Charles St,2582,End
Canal St & Rutgers St,2567,End
Pearl St & Hanover Square,2560,End
W 52 St & 5 Ave,2550,End
1 Ave & E 18 St,2531,End
Washington Pl & Broadway,2521,End
E 11 St & Broadway,2516,End
St Marks Pl & 1 Ave,2513,End
Front St & Maiden Ln,2512,End
Maiden Ln & Pearl St,2495,End
W 37 St & 5 Ave,2482,End
Stanton St & Chrystie St,2472,End
Broadway & W 51 St,2468,End
E 15 St & 3 Ave,2466,End
Church St & Leonard St,2454,End
Lispenard St & Broadway,2448,End
W 46 St & 11 Ave,2444,End
Washington Pl & 6 Ave,2431,End
Centre St & Worth St,2395,End
E 10 St & 5 Ave,2378,End
Metropolitan Ave & Bedford Ave,2362,End
MacDougal St & Washington Sq,2357,End
W 29 St & 9 Ave,2343,End
W 45 St & 8 Ave,2339,End
W 13 St & 7 Ave,2299,End
Bayard St & Baxter St,2295,End
Front St & Washington St,2293,End
South End Ave & Liberty St,2289,End
E 47 St & 2 Ave,2287,End
W 44 St & 5 Ave,2285,End
1 Ave & E 44 St,2277,End
Clinton St & Grand St,2261,End
Allen St & Hester St,2256,End
W 49 St & 5 Ave,2214,End
E 56 St & 3 Ave,2208,End
E 14 St & Avenue B,2201,End
W 56 St & 10 Ave,2198,End
Old Fulton St,2157,End
Clark St & Henry St,2155,End
Hudson St & Reade St,2153,End
State St & Smith St,2125,End
Norfolk St & Broome St,2116,End
W 52 St & 9 Ave,2097,End
E 48 St & 3 Ave,2091,End
Fulton St & William St,2090,End
William St & Pine St,2069,End
W 53 St & 10 Ave,2064,End
Spruce St & Nassau St,2062,End
Dean St & 4 Ave,2040,End
Perry St & Bleecker St,2033,End
Wythe Ave & Metropolitan Ave,2032,End
E 45 St & 3 Ave,2026,End
Forsyth St & Canal St,2020,End
Reade St & Broadway,2007,End
Division St & Bowery,1988,End
6 Ave & Broome St,1949,End
E 51 St & 1 Ave,1913,End
Atlantic Ave & Furman St,1904,End
E 25 St & 1 Ave,1898,End
Atlantic Ave & Fort Greene Pl,1889,End
Old Slip & Front St,1888,End
John St & William St,1885,End
South St & Whitehall St,1880,End
Duane St & Greenwich St,1869,End
Water - Whitehall Plaza,1843,End
Joralemon St & Adams St,1818,End
Broadway & W 36 St,1803,End
Lafayette St & Jersey St,1792,End
York St & Jay St,1788,End
Henry St & Atlantic Ave,1780,End
Ashland Pl & Hanson Pl,1769,End
E 2 St & Avenue C,1733,End
W 54 St & 9 Ave,1717,End
W 34 St & 11 Ave,1717,End
Broadway & W 39 St,1706,End
Harrison St & Hudson St,1694,End
E 47 St & 1 Ave,1672,End
Columbia St & Rivington St,1668,End
E 20 St & Park Ave,1660,End
E 33 St & 5 Ave,1631,End
E 37 St & Lexington Ave,1623,End
E 5 St & Avenue C,1613,End
Bialystoker Pl & Delancey St,1610,End
St James Pl & Oliver St,1606,End
Rivington St & Ridge St,1598,End
Hicks St & Montague St,1592,End
E 55 St & 2 Ave,1591,End
Pearl St & Anchorage Pl,1525,End
Broadway & W 37 St,1480,End
Fulton St & Rockwell Pl,1468,End
Grand St & Greene St,1374,End
Cherry St,1356,End
Clinton Ave & Myrtle Ave,1333,End
Madison St & Montgomery St,1294,End
Broad St & Bridge St,1274,End
Market St & Cherry St,1262,End
Clinton St & Tillary St,1260,End
Shevchenko Pl & E 6 St,1249,End
Bond St & Schermerhorn St,1247,End
Lafayette Ave & Fort Greene Pl,1224,End
E 43 St & 2 Ave,1222,End
Cadman Plaza E & Tillary St,1194,End
E 6 St & Avenue D,1189,End
Pike St & Monroe St,1153,End
Montague St & Clinton St,1142,End
Madison St & Clinton St,1142,End
Johnson St & Gold St,1138,End
Grand St & Havemeyer St,1119,End
Fulton St & Waverly Ave,1110,End
Pike St & E Broadway,1091,End
St James Pl & Pearl St,1086,End
Little West St & 1 Pl,1081,End
S 4 St & Wythe Ave,1002,End
Adelphi St & Myrtle Ave,996,End
Carlton Ave & Park Ave,993,End
Avenue D & E 3 St,976,End
Stanton St & Mangin St,973,End
S 3 St & Bedford Ave,972,End
Lefferts Pl & Franklin Ave,955,End
Cumberland St & Lafayette Ave,947,End
Avenue D & E 8 St,926,End
Clinton St & Joralemon St,912,End
Broadway & Berry St,903,End
Willoughby Ave & Hall St,899,End
Laight St & Hudson St,898,End
E 59 St & Sutton Pl,891,End
DeKalb Ave & S Portland Ave,872,End
Pitt St & Stanton St,853,End
Front St & Gold St,833,End
Flushing Ave & Carlton Ave,806,End
E 52 St & 2 Ave,802,End
E 27 St & 1 Ave,720,End
Willoughby St & Fleet St,717,End
E 56 St & Madison Ave,712,End
Kent Ave & S 11 St,711,End
Lexington Ave & Classon Ave,709,End
Washington Ave & Park Ave,704,End
Clermont Ave & Lafayette Ave,694,End
Duffield St & Willoughby St,693,End
Columbia Heights & Cranberry St,692,End
Fulton St & Grand Ave,678,End
Willoughby Ave & Walworth St,647,End
Washington Park,636,End
Lafayette Ave & Classon Ave,633,End
S Portland Ave & Hanson Pl,602,End
Lafayette Ave & St James Pl,597,End
Emerson Pl & Myrtle Ave,593,End
Concord St & Bridge St,558,End
Gallatin Pl & Livingston St,545,End
Sands St & Gold St,539,End
Avenue D & E 12 St,536,End
Clinton Ave & Flushing Ave,523,End
Fulton St & Clermont Ave,515,End
Macon St & Nostrand Ave,510,End
DeKalb Ave & Vanderbilt Ave,504,End
Catherine St & Monroe St,477,End
3 Ave & Schermerhorn St,472,End
Washington Ave & Greene Ave,443,End
Jay St & Tech Pl,408,End
Monroe St & Bedford Ave,396,End
Nassau St & Navy St,370,End
Clermont Ave & Park Ave,361,End
Bedford Ave & S 9th St,359,End
Henry St & Poplar St,357,End
Myrtle Ave & St Edwards St,340,End
Hancock St & Bedford Ave,340,End
E 55 St & Lexington Ave,338,End
DeKalb Ave & Skillman St,329,End
Franklin Ave & Myrtle Ave,326,End
Monroe St & Classon Ave,298,End
Hanover Pl & Livingston St,235,End
7 Ave & Farragut St,201,End
Cadman Plaza E & Red Cross Pl,169,End
Railroad Ave & Kay Ave,136,End
Park Ave & St Edwards St,127,End
